LONGITUDE,SITEAMP
135.4385692,1.576747996
135.4385692,1.072558439
135.4385692,1.630465575
135.4385692,1.039812039
135.4385692,1.705236231
135.4385692,1.249832868
135.4385692,0.721284047
135.4385692,1.311405742
135.4385692,1.218788801
135.4385692,1.022874208
135.4385692,1.097671412
135.4385692,1.515721739
135.4385692,0.930131253
135.4385692,1.13538997
135.4385692,1.288290475
135.4385692,2.323561934
135.4385692,1.826161518
135.4385692,1.566146915
135.4385692,0.878681703
135.4385692,0.826445248
135.4385692,0.494458751
135.4385692,0.59420595
135.4385692,0.721880126
135.4385692,1.016559032
135.4385692,0.665046028
135.4385692,0.599563664
135.4385692,0.512672793
135.4385692,0.565682706
135.4385692,1.022817449
135.4385692,0.392421063
135.4385692,0.793874069
135.4385692,0.696727398
135.4385692,0.908801435
135.4385692,0.664985868
135.4385692,1.460696469
135.4385692,0.831298125
135.4385692,1.36363423
135.4385692,1.648392319
135.4385692,2.117261128
135.4385692,2.218819024
135.4385692,1.650322269
