LONGITUDE,SITEAMP
135.5192969,2.055503663
135.5192969,1.373482757
135.5192969,2.376038915
135.5192969,1.628581894
135.5192969,1.787338522
135.5192969,1.555642702
135.5192969,1.123924422
135.5192969,1.610968342
135.5192969,1.26149494
135.5192969,1.318394716
135.5192969,1.088727239
135.5192969,2.047202071
135.5192969,1.231431481
135.5192969,1.294118895
135.5192969,1.996993491
135.5192969,1.99361283
135.5192969,1.853072338
135.5192969,1.513570217
135.5192969,1.292827673
135.5192969,1.096328578
135.5192969,1.111786155
135.5192969,0.938395792
135.5192969,0.99037802
135.5192969,0.876301393
135.5192969,0.818636214
135.5192969,1.125496446
135.5192969,0.717606996
135.5192969,0.648565402
135.5192969,1.227212967
135.5192969,0.541727227
135.5192969,0.931575544
135.5192969,0.977937538
135.5192969,1.439580888
135.5192969,1.02187492
135.5192969,1.657265689
135.5192969,0.987502788
135.5192969,1.817934228
135.5192969,2.144461975
135.5192969,2.887612298
135.5192969,1.86593581
135.5192969,1.687598017
