LONGITUDE,SITEAMP
135.5373825,0.88555024
135.4844381,0.877171136
135.5193739,1.408531668
135.4994906,1.071292342
135.5071311,1.26649436
135.5173411,1.095936029
135.4464333,1.138032137
135.4365964,0.794163802
135.5338378,1.272188732
135.4691292,0.956282174
135.4744525,0.790776079
135.470105,0.78582238
135.4153186,0.761371499
135.4250044,0.788466311
135.4828008,0.973675426
135.5099478,0.708300018
135.5054511,1.665977336
135.5024392,1.016121714
135.4902394,0.861024997
135.4881997,0.82468297
135.4924531,0.856517818
135.5537797,0.883625531
135.5561975,0.863556734
135.5614019,0.745528232
135.5614411,0.71278125
135.4238839,1.065238232
135.4509136,0.731405174
135.5751619,0.883565407
135.5636378,0.613898902
135.4423158,0.936258585
135.4982219,0.867230321
135.5108197,1.498073794
135.5028142,0.947531862
135.5151033,1.113366787
135.5088597,1.308068357
135.5015575,0.933441332
135.4971578,0.831534795
135.5580533,1.037991658
135.5154606,1.102852865
135.4907064,0.894953724
135.5445106,0.729540073
135.55011,0.934821764
135.5527219,1.197979072
135.5505922,0.91768457
135.4268225,1.052825006
135.4555344,0.978562861
135.4641975,0.785610257
135.5473014,0.749423001
135.5486075,0.601986933
135.5685014,0.779845532
135.4453883,0.830412052
135.5423508,0.878810726
135.4979869,0.873283675
135.4979597,0.907151383
135.4997325,0.85963888
135.4228397,1.279576794
135.4848019,0.895275696
135.4888933,0.885508546
135.4908253,0.914210543
135.4938011,0.848911202
135.4353964,1.081138325
135.4459153,0.897450595
135.4644717,0.841117664
135.4659433,1.242554655
135.5021272,0.714850204
135.4990336,0.84602131
135.5048292,0.705242179
135.5154014,0.817817388
135.5352256,0.943421954
135.5347258,1.241505902
135.5506311,0.671189106
135.5524589,1.135038088
135.5705111,0.966769474
135.562935,1.225952428
135.4171053,0.774449624
135.4201711,0.811933217
135.4452383,0.753252695
135.4490681,0.959780674
135.4552625,0.740403553
135.4888144,0.966936091
135.4979389,0.770614319
135.5037972,1.341438986
135.5064369,1.093346619
135.5098547,1.037379686
135.5124175,1.51630445
135.5161261,1.046608712
135.5080089,0.819867601
135.5098997,0.747169848
135.4638986,1.028407251
135.482605,0.961984286
135.4827869,0.853279091
135.4843489,0.820632077
135.4898694,1.042114828
135.4980308,0.791272687
135.5002267,0.811985096
135.5192969,0.923234761
135.5125644,1.062448047
135.4981086,0.701967132
135.4991525,0.963407058
135.5753997,1.095210249
135.4662103,1.016773361
135.5310569,0.717084087
135.5163292,0.943648554
135.4535114,0.791504365
135.4716047,0.820379754
135.5024264,1.020614975
135.4887903,0.858551879
135.4965269,0.942098743
135.5370564,0.839503876
135.4230828,0.797041127
135.4399792,0.97826237
135.5027742,1.22260775
135.5091658,1.203491036
135.5128733,1.493353964
135.5051461,1.080434904
135.5052539,1.257792822
135.5170361,0.788752649
135.4653322,0.773540917
135.4647372,0.902791361
135.4640347,0.666678131
135.5455117,1.278752848
135.5458336,1.37095171
135.5462128,0.988901307
135.4858386,0.917739177
135.5167811,1.302082272
135.4385692,0.831298124
135.4916233,0.773926316
135.4878086,0.848236895
135.5593592,1.085550897
135.5090708,1.220632995
135.5378703,0.884148264
135.5134394,1.175968442
135.5782833,0.952741539
135.5395153,0.829036738
135.5070019,1.187169684
135.5041022,1.044418244
135.5011736,0.949884056
135.5012806,1.152904541
135.4975578,0.761323316
135.5039503,1.246074143
135.50633,0.795139388
135.4578792,0.99757428
135.4441872,0.964628579
135.4661214,0.90913258
135.4979247,0.861182031
135.4978839,0.808936537
135.4929742,0.808043309
135.5098383,0.751117252
135.5098383,0.919326373
135.5098383,0.861095257
135.5098383,0.847203459
135.5098383,1.188391719
135.5096531,0.902933316
135.5098383,0.940536543
135.4849986,1.265689717
135.4826636,1.107651349
135.4389264,1.247709953
135.4396892,1.004135409
135.4402811,0.818118103
135.4417994,0.843897651
135.4174131,0.969928667
135.5317578,0.772309105
135.5329097,1.179782491
135.5380486,0.837121991
135.5354875,0.931624275
135.5357256,0.763430264
135.5365761,0.870491408
135.5369722,0.878212379
135.5384456,1.136271725
135.5545625,0.904142853
135.5326564,0.754738072
135.4819353,0.792514305
135.4563028,1.368019215
135.4568275,0.821844648
135.5460031,1.24460368
135.5055667,1.798525484
135.4536392,0.722126626
135.5454364,1.278752848
135.5458947,1.37095171
135.5462167,0.988901307
135.5504114,1.069044822
135.4355964,1.130569754
135.53286,0.742166444
135.4333797,0.771555324
135.4470717,0.732965778
